번호,시도,시군구,품목,부부 가족 경영규모,평균투자비(3년합계),연간운영비/년(운영),평균수입/년(부부인건비 포함),평균농지가격(3.3㎡)
54,경상북도,영덕군,과실류 > 복숭아 > 털복숭아(일반),6600(㎡),20000000(원),12000000(원),40000000(원),15000(원)/100000(원)
55,경상북도,영덕군,엽경채류 > 시금치 > 시금치(일반),10000(㎡),50000000(원),20000000(원),159000000(원),15000(원)/100000(원)
56,경상북도,영양군,과실류 > 사과 > 사과(기타),6000(㎡),50000000(원),7000000(원),50000000(원),1000(원)/100000(원)
57,경상북도,영양군,조미채소류 > 풋고추 > 풋고추(기타),3000(㎡),8100000(원),2500000(원),30000000(원),1000(원)/100000(원)
58,경상북도,청송군,조미채소류 > 풋고추 > 풋고추(기타),6600(㎡),200000000(원),30000000(원),50000000(원),30000(원)/60000(원)
59,경상북도,청송군,과실류 > 사과 > 사과(기타),6600(㎡),300000000(원),50000000(원),100000000(원),30000(원)/60000(원)
60,경상북도,의성군,과실류 > 복숭아 > 털복숭아(일반),3300(㎡),9000000(원),3000000(원),13000000(원),1000(원)/60000(원)
61,경상북도,의성군,과실류 > 자두 > 자두(일반),3300(㎡),9000000(원),3000000(원),13000000(원),1000(원)/60000(원)
62,경상북도,의성군,과실류 > 사과 > 사과(기타),8000(㎡),12000000(원),16000000(원),30000000(원),1000(원)/60000(원)
63,경상북도,의성군,조미채소류 > 마늘 > 마늘,3600(㎡),10000000(원),7000000(원),18000000(원),1000(원)/60000(원)
64,경상북도,군위군,조미채소류 > 마늘 > 마늘,66000(㎡),12000000(원),9000000(원),30000000(원),1500(원)/100000(원)
65,경상북도,군위군,과실류 > 자두 > 자두(일반),6600(㎡),10000000(원),7000000(원),20000000(원),1500(원)/100000(원)
66,경상북도,문경시,버섯류 > 표고버섯 > 표고버섯(일반),2000(㎡),40000000(원),15000000(원),45000000(원),2500(원)/100000(원)
67,경상북도,문경시,기타 > 시설하우스 > 시설채소,2000(㎡),40000000(원),15000000(원),45000000(원),2500(원)/100000(원)
68,경상북도,문경시,약용작물류 > 오미자 > 오미자(일반),6600(㎡),15000000(원),10000000(원),30000000(원),2500(원)/100000(원)
69,경상북도,문경시,과실류 > 사과 > 사과(기타),6600(㎡),25000000(원),13000000(원),40000000(원),2500(원)/100000(원)
70,경상북도,상주시,과실류 > 복숭아 > 털복숭아(일반),8250(㎡),50000000(원),10000000(원),60000000(원),1000(원)/100000(원)
71,경상북도,상주시,과채류 > 오이 > 시설오이,3300(㎡),300000000(원),40000000(원),150000000(원),1000(원)/100000(원)
72,경상북도,경주시,버섯류 > 기타 > 버섯(시설),330(㎡),200000000(원),30000000(원),80000000(원),1000(원)/100000(원)
73,경상북도,경주시,과실류 > 곶감 > 곶감(일반),66000(㎡),20000000(원),10000000(원),50000000(원),1000(원)/100000(원)
74,경상북도,상주시,과실류 > 포도 > 청포도,6600(㎡),100000000(원),10000000(원),100000000(원),1000(원)/100000(원)
75,경상북도,영천시,과실류 > 자두 > 자두(일반),5960(㎡),45000000(원),15000000(원),52000000(원),2500(원)/250000(원)
76,경상북도,영천시,과실류 > 사과 > 사과(기타),6500(㎡),40000000(원),15000000(원),45000000(원),2500(원)/250000(원)
77,경상북도,영천시,과실류 > 복숭아 > 털복숭아(일반),4960(㎡),20000000(원),15000000(원),25000000(원),2500(원)/250000(원)
78,경상북도,영천시,과실류 > 포도 > 포도(일반),5850(㎡),40000000(원),15000000(원),27000000(원),2500(원)/250000(원)
79,경상북도,영주시,과실류 > 사과 > 사과(기타),0(㎡),59000000(원),25000000(원),42000000(원),2000(원)/100000(원)
80,경상북도,영주시,과실류 > 포도 > 포도(일반),22000000(㎡),26000000(원),34000000(원),2000(원),2000(원)/100000(원)
81,경상북도,영주시,과실류 > 복숭아 > 털복숭아(일반),0(㎡),24000000(원),26000000(원),36000000(원),2000(원)/100000(원)
82,경상북도,구미시,과실류 > 복숭아 > 털복숭아(일반),1054(㎡),41640000(원),13880000(원),45150000(원),2000(원)/10000(원)
83,경상북도,구미시,서류 > 고구마 > 고구마,855(㎡),27150000(원),90500000(원),59640000(원),2000(원)/10000(원)
84,경상북도,구미시,과실류 > 사과 > 사과(기타),982(㎡),38820000(원),12940000(원),86340000(원),2000(원)/10000(원)
85,경상북도,안동시,과일과채류 > 수박 > 노지수박,16528(㎡),4467963(원),1489321(원),4532321(원),1000(원)/30000(원)
86,경상북도,안동시,과채류 > 호박 > 시설호박,14876(㎡),19934085(원),6644695(원),6827153(원),1000(원)/30000(원)
87,경상북도,안동시,과실류 > 사과 > 사과(기타),16530(㎡),6013026(원),2004342(원),3286938(원),1000(원)/30000(원)
88,경상북도,김천시,과일과채류 > 참외 > 참외(기타),2000(㎡),12300000(원),7000000(원),20000000(원),3300(원)/110000(원)
89,경상북도,김천시,과실류 > 복숭아 > 기타,5000(㎡),5100000(원),900000(원),25000000(원),3300(원)/110000(원)
90,경상북도,김천시,과실류 > 포도 > 포도(일반),3300(㎡),45000000(원),5000000(원),25000000(원),3300(원)/110000(원)
91,경상북도,김천시,과실류 > 자두 > 자두(일반),6600(㎡),3600000(원),600000(원),30000000(원),3300(원)/110000(원)
92,경상북도,경주시,엽경채류 > 부추 > 기타,10000(㎡),130000000(원),55000000(원),60000000(원),1000(원)/100000(원)
93,경상북도,경주시,과실류 > 포도 > 포도(일반),4500(㎡),22000000(원),25000000(원),30000000(원),1000(원)/100000(원)
94,경상북도,경주시,과실류 > 만감 > 한라봉,3300(㎡),130000000(원),5000000(원),50000000(원),1000(원)/100000(원)
95,경상북도,경주시,과일과채류 > 토마토 > 토마토(일반),3300(㎡),90000000(원),30000000(원),30000000(원),1000(원)/100000(원)
96,경상북도,포항시,과일과채류 > 딸기 > 딸기(기타),2500(㎡),300000000(원),30000000(원),70000000(원),150000(원)/250000(원)
97,경상북도,포항시,과실류 > 사과 > 사과(기타),20000(㎡),350000000(원),50000000(원),100000000(원),3000(원)/10000(원)
98,전라남도,신안군,엽경채류 > 시금치 > 시금치(일반),6400(㎡),6000000(원),4500000(원),13000000(원),3000(원)/100000(원)
99,전라남도,신안군,과실류 > 무화과 > 무화과(일반),6600(㎡),6000000(원),3000000(원),38000000(원),3000(원)/100000(원)
100,전라남도,신안군,조미채소류 > 풋고추 > 풋고추(기타),5000(㎡),8000000(원),4000000(원),15000000(원),3000(원)/100000(원)
101,전라남도,신안군,조미채소류 > 마늘 > 기타,3300(㎡),9000000(원),3000000(원),15000000(원),3000(원)/100000(원)
102,전라남도,진도군,조미채소류 > 풋고추 > 풋고추(기타),1200(㎡),11000000(원),3200000(원),13000000(원),700(원)/50000(원)
103,전라남도,진도군,약용작물류 > 구기자 > 구기자(일반),1000(㎡),10000000(원),3000000(원),10000000(원),700(원)/50000(원)
104,전라남도,진도군,조미채소류 > 대파 > 대파(일반),5000(㎡),10000000(원),6000000(원),15000000(원),700(원)/50000(원)
105,전라남도,장성군,과일과채류 > 토마토 > 토마토(일반),4400(㎡),96320000(원),60724000(원),52168000(원),1000(원)/50000(원)
